DATE,STATION,LEVEL,TIME STARTED (UTC),TIME ENDED (UTC),TOTAL TIME,cloud_friendly,clouds,pressure (mb),temp_air,temp_dewpoint,temp_perceived,relative_humidity,visibility (m),wind_direction,wind_friendly,wind_speed (KT),clouds_altitude,clouds_symbol,clouds_type,processtimestamp
8/4/2023  9:00:00 PM,RPMD,RED,09:25:00 PM,10:24:00 PM,12:59:00 AM,Partly cloudy,"[{'altitude': 1600, 'symbol': 'FEW016', 'type': 'FEW', 'index': 360}, {'altitude': 9000, 'symbol': 'BKN090', 'type': 'BKN', 'index': 360}]",1014,24,24,24,100,10000,330,Calm winds,3,1600.0,FEW016,FEW,08/05/2023 06:01:16
8/7/2023  4:00:00 PM,RPLL,YELLOW,04:44:00 PM,06:21:00 PM,01:37:00 AM,Partly cloudy,"[{'altitude': 1600, 'symbol': 'FEW016', 'type': 'FEW', 'index': 438}, {'altitude': 2300, 'symbol': 'SCT023', 'type': 'SCT', 'index': 438}]",1007,29.0,27.0,36.0,89.0,10000,250,Light winds,10,2300.0,SCT023,SCT,08/08/2023 06:02:56
8/11/2023  8:00:00 PM,RPLL,YELLOW,08:41:00 PM,09:12:00 PM,12:31:00 AM,Partly cloudy,"[{'altitude': 3000, 'symbol': 'FEW030', 'type': 'FEW', 'index': 436}, {'altitude': 13000, 'symbol': 'BKN130', 'type': 'BKN', 'index': 436}]",1008.0,28,24,31,79,10000.0,220,Light winds,6,13000.0,BKN130,BKN,08/12/2023 06:02:14
8/15/2023  2:00:00 AM,RPLL,YELLOW,02:03:00 AM,02:37:00 AM,12:34:00 AM,Partly cloudy,"[{'altitude': 2500, 'symbol': 'FEW025', 'type': 'FEW', 'index': 444}]",1010,31,26,37,75,10000,270,Windy,11,2500.0,FEW025,FEW,08/15/2023 20:07:04
8/25/2023  2:00:00 PM,RPLC,RED,02:27:00 PM,03:25:00 PM,12:58:00 AM,Partly cloudy,"[{'altitude': 2000, 'symbol': 'SCT020', 'type': 'SCT', 'index': 143}, {'altitude': 10000, 'symbol': 'BKN100', 'type': 'BKN', 'index': 143}]",1009.0,28,25,32,84,8000,320,Calm winds,2,10000.0,BKN100,BKN,08/26/2023 06:37:51
9/3/2023  8:00:00 AM,RPLL,YELLOW,08:34:00 AM,08:43:00 AM,12:09:00 AM,Raining,"[{'altitude': 2200, 'symbol': 'SCT022', 'type': 'SCT', 'index': 442}, {'altitude': 9000, 'symbol': 'OVC090', 'type': 'OVC', 'index': 442}]",1004,28,26.0,32.0,89.0,9000,240,Light winds,10,9000.0,OVC090,OVC,09/03/2023 22:55:23
9/6/2023  12:00:00 PM,RPLC,RED,12:50:00 PM,02:45:00 PM,01:55:00 AM,Overcast skies,"[{'altitude': 2000, 'symbol': 'SCT020', 'type': 'SCT', 'index': 288}, {'altitude': 10000, 'symbol': 'OVC100', 'type': 'OVC', 'index': 288}]",1012.0,26.0,25.0,26.0,94.0,6000,320,Light winds,4,10000.0,OVC100,OVC,09/07/2023 00:19:50
9/7/2023  3:00:00 PM,RPLL,YELLOW,03:59:00 PM,04:55:00 PM,12:56:00 AM,Partly cloudy,"[{'altitude': 1800, 'symbol': 'FEW018', 'type': 'FEW', 'index': 441}, {'altitude': 9000, 'symbol': 'BKN090', 'type': 'BKN', 'index': 441}]",1011,29.0,27.0,36.0,89.0,9000.0,0,Calm winds,1,9000.0,BKN090,BKN,09/08/2023 06:00:58
9/9/2023  3:00:00 PM,RPLC,RED,03:18:00 PM,05:00:00 PM,01:42:00 AM,Partly cloudy,"[{'altitude': 2000, 'symbol': 'SCT020', 'type': 'SCT', 'index': 141}, {'altitude': None, 'symbol': 'BKN', 'type': 'BKN', 'index': 141}]",1011,27,24,29,84,8000.0,340,Calm winds,2,2000.0,BKN,BKN,09/10/2023 06:00:57
9/12/2023  10:00:00 AM,RPLL,YELLOW,10:47:00 AM,11:14:00 AM,12:27:00 AM,Overcast skies,"[{'altitude': 2200, 'symbol': 'SCT022', 'type': 'SCT', 'index': 371}, {'altitude': 9000, 'symbol': 'OVC090', 'type': 'OVC', 'index': 371}]",1007,27,25,29,89,10000,0,Calm winds,2,9000.0,OVC090,OVC,09/13/2023 06:01:00
9/13/2023  4:00:00 AM,RPLL,YELLOW,04:08:00 AM,04:40:00 AM,12:32:00 AM,Partly cloudy,"[{'altitude': 2500, 'symbol': 'FEW025', 'type': 'FEW', 'index': 365}, {'altitude': 10000, 'symbol': 'SCT100', 'type': 'SCT', 'index': 365}]",1009,29,26,35,84,10000.0,270,Windy,14,10000.0,SCT100,SCT,09/13/2023 18:01:00
9/14/2023  5:00:00 PM,RPLL,YELLOW,05:09:00 PM,05:24:00 PM,12:15:00 AM,Partly cloudy,"[{'altitude': 2500, 'symbol': 'FEW025', 'type': 'FEW', 'index': 364}]",1010.0,28,25,32,84,10000,0,Calm winds,2,2500.0,FEW025,FEW,09/15/2023 06:00:57
9/15/2023  11:00:00 AM,RPLL,YELLOW,11:43:00 AM,12:44:00 PM,01:01:00 AM,Partly cloudy,"[{'altitude': 2300, 'symbol': 'FEW023', 'type': 'FEW', 'index': 370}, {'altitude': 10000, 'symbol': 'BKN100', 'type': 'BKN', 'index': 370}]",1011.0,29.0,26.0,35.0,84.0,10000,0,Calm winds,2,10000.0,BKN100,BKN,09/16/2023 06:01:01
9/16/2023  2:00:00 PM,RPLL,YELLOW,02:39:00 PM,03:41:00 PM,01:02:00 AM,Partly cloudy,"[{'altitude': 2500, 'symbol': 'FEW025', 'type': 'FEW', 'index': 443}]",1012.0,29.0,26.0,35.0,84.0,10000,0,Calm winds,2,2500.0,FEW025,FEW,09/17/2023 06:01:01
9/17/2023  1:00:00 PM,RPLL,YELLOW,01:13:00 PM,01:30:00 PM,12:17:00 AM,Partly cloudy,"[{'altitude': 2100, 'symbol': 'FEW021', 'type': 'FEW', 'index': 444}, {'altitude': 2300, 'symbol': 'BKN023', 'type': 'BKN', 'index': 444}, {'altitude': 9000, 'symbol': 'OVC090', 'type': 'OVC', 'index': 444}]",1011.0,25,24,25,94,10000,220,Light winds,6,9000.0,OVC090,OVC,09/18/2023 06:01:00
9/18/2023  3:00:00 PM,RPLL,YELLOW,03:21:00 PM,04:16:00 PM,12:55:00 AM,Partly cloudy,"[{'altitude': 2300, 'symbol': 'FEW023', 'type': 'FEW', 'index': 442}, {'altitude': 2500, 'symbol': 'FEW025', 'type': 'FEW', 'index': 442}, {'altitude': None, 'symbol': 'SCT', 'type': 'SCT', 'index': 442}]",1011.0,30,25,36,75,10000,120,Light winds,4,2500.0,SCT,SCT,09/19/2023 06:01:00
9/22/2023  5:00:00 PM,RPMD,RED,05:04:00 PM,06:04:00 PM,01:00:00 AM,Partly cloudy,"[{'altitude': 1600, 'symbol': 'FEW016', 'type': 'FEW', 'index': 364}, {'altitude': 9000, 'symbol': 'BKN090', 'type': 'BKN', 'index': 364}, {'altitude': 26000, 'symbol': 'OVC260', 'type': 'OVC', 'index': 364}]",1009.0,25.0,25.0,25.0,100.0,10000.0,340,Calm winds,3,26000.0,OVC260,OVC,09/23/2023 06:00:58
9/24/2023  7:00:00 PM,RPLL,YELLOW,07:03:00 PM,08:13:00 PM,01:10:00 AM,Partly cloudy,"[{'altitude': 2500, 'symbol': 'FEW025', 'type': 'FEW', 'index': 453}, {'altitude': 15000, 'symbol': 'BKN150', 'type': 'BKN', 'index': 453}]",1007.0,28,26,32,89,10000,0,Calm winds,0,15000.0,BKN150,BKN,09/25/2023 06:00:59
9/29/2023  2:00:00 PM,RPVM,RED,02:03:00 PM,02:30:00 PM,12:27:00 AM,Partly cloudy,"[{'altitude': 2000, 'symbol': 'FEW020', 'type': 'FEW', 'index': 217}, {'altitude': 25000, 'symbol': 'BKN250', 'type': 'BKN', 'index': 217}]",1010,26,25,26,94,10000,250,Calm winds,1,25000.0,BKN250,BKN,09/30/2023 06:01:11
10/1/2023  2:00:00 PM,RPLC,RED,02:15:00 PM,02:58:00 PM,12:43:00 AM,Raining,"[{'altitude': 2000, 'symbol': 'SCT020', 'type': 'SCT', 'index': 292}, {'altitude': 10000, 'symbol': 'OVC100', 'type': 'OVC', 'index': 292}]",1009,27,26,30,94,5000,70,Light winds,5,10000.0,OVC100,OVC,10/02/2023 06:01:09
10/4/2023  11:00:00 PM,RPMD,RED,11:04:00 PM,11:34:00 PM,12:30:00 AM,Partly cloudy,"[{'altitude': 1600, 'symbol': 'FEW016', 'type': 'FEW', 'index': 475}, {'altitude': 26000, 'symbol': 'BKN260', 'type': 'BKN', 'index': 475}]",1013.0,27.0,24.0,29.0,84.0,,10,Calm winds,3,26000.0,BKN260,BKN,10/05/2023 18:01:11
10/7/2023  4:00:00 PM,RPMD,RED,04:53:00 PM,06:22:00 PM,01:29:00 AM,Partly cloudy,"[{'altitude': 1600, 'symbol': 'FEW016', 'type': 'FEW', 'index': 260}, {'altitude': 9000, 'symbol': 'SCT090', 'type': 'SCT', 'index': 260}]",1011.0,24.0,24.0,24.0,100.0,10000.0,250,Calm winds,2,9000.0,SCT090,SCT,10/08/2023 06:01:04
10/9/2023  10:00:00 PM,RPVM,RED,10:27:00 PM,11:04:00 PM,12:37:00 AM,Partly cloudy,"[{'altitude': 2000, 'symbol': 'FEW020', 'type': 'FEW', 'index': 219}, {'altitude': None, 'symbol': 'BKN', 'type': 'BKN', 'index': 219}]",1010,26.0,25.0,26.0,94.0,10000,0,Calm winds,2,2000.0,BKN,BKN,10/10/2023 18:01:06
